Título do Livro,Autor,Quantidade de Páginas,Tempo de Leitura,Nota Média,Leram,Lendo,Querem,Relendo,Abandonos,Resenhas,Favoritos,Avaliaram
Somos todos órfãos - O drama da compreensão humana,Regis de Oliveira,184 páginas,6h 8m,3.2,38,3,203,0,2,2,2,20
Só por hoje -,Julio Ludemir,160 páginas,5h 20m,3.4,15,1,61,0,0,0,1,6
"Segredos Revelados - Uma trama envolvente sobre mentira, traição e, acima de tudo, as consequências",Fern Michaels,304 páginas,10h 8m,3.8,718,16,820,2,18,65,52,482
Reviravolta  (Série Mickey Haller #3) - (Série Mickey Haller #3),Michael Connelly,384 páginas,12h 48m,4.1,298,10,246,0,1,21,13,205
Profundamente Sua (Crossfire #2) - O doce e perigoso limite da obsessão...,Sylvia Day,256 páginas,8h 32m,4,30308,362,3607,36,286,423,2238,15577
Postais do Coração -,Ella Griffin,448 páginas,14h 56m,3.6,649,21,751,1,30,49,30,418
Por onde o amor me leva -,Dalcides Biscalquin,160 páginas,5h 20m,3.8,31,2,31,0,1,0,3,17
Palavras de Direito  - O verdadeiro significado leva à clareza,Deonísio da Silva,256 páginas,8h 32m,3.5,3,1,42,0,0,0,1,2
Os Caçadores de Fantasmas - E a assombração de fogo,Cornelia Maria Funke,140 páginas,4h 40m,4.2,32,5,64,0,1,2,3,19
O Princípio da Tempestade (Os Guardiões da História #01) - Os Guardiões da História - Livro 01,Damian Dibben,352 páginas,11h 44m,3.8,137,8,729,1,9,12,8,103
O Perfume do Chianti  - História de uma família,Piero Antinori,288 páginas,9h 36m,3.3,15,0,55,0,1,0,1,7
O melhor momento - Aproveitando ao máximo toda a sua vida,Jane Fonda,384 páginas,12h 48m,4.2,50,14,94,1,2,4,3,24
Dark Eden - O medo é a cura - Livro 01,Patrick Carman,240 páginas,8h 0m,3.6,236,13,238,2,10,19,17,173
O Homem da Lua (Os Guardiões da Infância #1) - Livro de imagens,William Joyce,56 páginas,1h 52m,4.5,333,7,913,1,0,15,53,235
O Arconte (Oráculo #2) - Trilogia Oráculo - Livro 02,Catherine Fisher,344 páginas,11h 28m,3.7,48,2,337,0,2,1,5,29
Nicolau São Norte e a Batalha contra o Rei dos Pesadelos (Os Guardiões da Infância #1) - Os Guardiões - Livro 01,William Joyce,232 páginas,7h 44m,4.2,903,38,973,7,22,88,90,679
Nada Alem da Verdade -,Alex Gilvarry,312 páginas,10h 24m,3.7,29,0,30,0,1,3,0,14
Monitoramento e métricas de mídias sociais: do estagiário ao CEO - Um modelo prático para toda a empresa usar mídias sociais com eficiência e de forma estratégica,"Diego Monteiro, Ricardo Azarite",216 páginas,7h 12m,3.8,56,10,136,0,1,0,2,30
Menina iluminada -,Neil Gaiman,32 páginas,1h 4m,4.4,220,2,193,0,0,11,36,143
Memórias de Um Amigo Imaginário -,Matthew Dicks,432 páginas,14h 24m,4.3,1046,60,2621,1,48,77,211,757
Las Chicas - Gourmet Garage,Carla Pernambuco,176 páginas,5h 52m,5,3,0,34,0,1,0,0,1
Laços Inseparáveis - O lugar ao qual pertencemos é onde menos esperamos nos encontrar.,Emily Giffin,448 páginas,14h 56m,4.2,5286,121,3366,7,62,260,450,3241
Kafka para Sobrecarregados -,Allan Percy,128 páginas,4h 16m,3.6,839,62,647,2,18,42,36,508
Incarceron - Incarceron - Livro 01,Catherine Fisher,352 páginas,11h 44m,3.8,1029,60,2151,3,70,38,102,732
Histórias de canções: Tom Jobim -,Wagner Homem,320 páginas,10h 40m,4.1,311,28,311,0,8,19,19,190
"Finnikin,  O Guerreiro - Crônicas de Lumatere - Livro 01",Melina Marchetta,424 páginas,14h 8m,4,236,14,459,0,14,13,28,162
Diário de um Vampiro Banana – Livro 2 - Conde Crápula,Tim Collins,304 páginas,10h 8m,3.8,410,15,634,4,7,6,24,182
Dez x 10  - Bilíngue,Carla Pernambuco,0 páginas,0m,3,2,0,14,0,0,0,0,2
Desculpas Excelentes - Tom Gates - Livro 02,L. Pichon,348 páginas,11h 36m,3.7,108,4,88,0,0,0,5,66
Cinquenta Tons de Liberdade (Cinquenta Tons de Cinza #3) - Livro 3,E.L. James,544 páginas,18h 8m,3.9,94415,1967,18803,158,1888,1064,6958,42459
Chi Mental - Reprograme seu cérebro diariamente em apenas 8 minutos,"Richard Israel, Vanda North",392 páginas,13h 4m,4.2,16,14,225,0,3,1,2,9
"Cervejas, Brejas & Birras - Um guia completo para desmistificar a bebida mais popular do Brasil",Mauricio Beltramelli,320 páginas,10h 40m,4.1,113,31,211,0,4,5,11,76
Calico Joe -,John Grisham,224 páginas,7h 28m,3.6,93,2,86,0,6,10,2,69
"Aventuras de Um Lobisomem Banana - Pelos, por que temê-los?",Tim Collins,280 páginas,9h 20m,3.4,151,6,117,0,5,6,6,78
As Irmãs Grimm - Era Uma Vez Um Crime  - Livro 4,Irmãos Grimm,272 páginas,9h 4m,4.3,153,3,263,0,3,3,9,77
As Irmãs Grimm - e a Criança Problema - Livro 3,Michael Buckley,280 páginas,9h 20m,4.4,99,6,78,2,2,5,11,105
As coisas boas da vida -,Anderson Cavalcante,108 páginas,3h 36m,3.9,247,4,240,3,0,5,1,143
Agente Amélia - Caninotizados!,Michael Broad,144 páginas,4h 48m,3.7,42,1,2,0,0,4,0,25
agente amélia - o balé do calafrio,Michael Broad,140 páginas,4h 40m,4,57,1,6,1,0,1,2,29
Aerotrópole - O modo como viveremos no futuro,"John D. Kasarda, Greg Lindsay",608 páginas,20h 16m,4.3,3,2,35,0,1,0,2,3
Adultos Sem Filtro - E Outras Crônicas,Thalita Rebouças,192 páginas,6h 24m,4,617,15,451,5,8,24,57,362
A Queda de Gilead (A Torre Negra #4) - Vol. 4,Stephen King,192 páginas,6h 24m,4.6,256,2,179,0,0,7,24,160
A Sabedoria do Condado - Tudo Sobre o Estilo de Vida Dos Hobbits Para Uma Vida Longa e Feliz,Noble Smith,176 páginas,5h 52m,4,861,58,942,0,24,81,106,629
A Última Nota -,"Lu Piras, Felipe Colbert",260 páginas,8h 40m,3.8,955,24,4093,2,26,65,124,766
A Filha do Apanhador de Demônios - Apanhadores de Demônios - Livro 01,Jana Oliver,368 páginas,12h 16m,4,209,10,382,2,10,20,16,155
A Cura do Cérebro -,Adriana Fóz,192 páginas,6h 24m,4.2,58,11,245,0,0,3,4,35
Um Século de Paulo Gracindo - O Eterno Bem-Amado,"Gracindo Junior, Mauro Alencar",256 páginas,8h 32m,3,4,0,4,0,0,0,0,2
Sua Santidade - As Cartas Secretas de Bento XVI,Gianluigi Nuzzi,320 páginas,10h 40m,3.6,46,2,111,0,8,3,3,23
Steampunk - Poe - Ilustrações Zdenko Basic & Manuel Sumberac,Edgar Allan Poe,248 páginas,8h 16m,4.3,250,32,762,0,7,7,38,153
Química em questão -,Alfredo Luis Mateus,168 páginas,5h 36m,4,15,7,106,0,1,2,1,18
Os Grandes Filósofos que Fracassaram no Amor -,Andrew Shaffer,208 páginas,6h 56m,3.7,390,30,455,0,8,24,19,235
O Zahir - Livro 16 - 2005,Paulo Coelho,304 páginas,10h 8m,3.4,9216,201,2339,11,522,168,14,4181
O teu rosto será o último  -,João Ricardo Pedro,192 páginas,6h 24m,3.3,166,15,305,1,19,11,7,111
O que é arte contemporânea? -,"Jacky Klein, Suzy Klein",64 páginas,2h 8m,3.3,18,14,118,1,0,0,0,8
O Pequeno Livro da Etiqueta e Bom Senso - 501 Conselhos Para Você Brilhar em Qualquer Ocasião,Maria João Saraiva de Menezes,133 páginas,4h 26m,3.1,41,7,179,3,0,1,3,21
O Muro - Crescendo atrás da cortina de ferro,Peter Sís,56 páginas,1h 52m,4.3,2,1,1,0,1,5,2,25
O Mago (Os Segredos de Nicolau Flamel #2) - Os Segredos de Nicolau Flamel - Livro 02,Michael Scott,461 páginas,15h 22m,4.5,98,9,605,1,5,2,19,45
O DESFILE DA ZEBRA -,Paula Browne,36 páginas,1h 12m,4,7,3,45,2,1,1,0,2
Monster High: Monstramigas para sempre -,Gitty Daneshvari,264 páginas,8h 48m,3.6,760,28,193,5,36,17,25,373
Mick Jagger -,Philip Norman,640 páginas,21h 20m,3.9,131,14,215,0,11,4,6,84
Mentiras (Gone  #03) - Gone - Livro 3,Michael Grant,378 páginas,12h 36m,4.3,1093,22,1828,5,7,38,120,736
Mário de Andrade e Sérgio Buarque de Holanda: Correspondência -,"Monteiro, Pedro Meira,Mário de Andrade, Sérgio Buarque de Holanda",448 páginas,14h 56m,2.5,7,2,33,0,0,0,0,2
Mar Azul -,Paloma Vidal,176 páginas,5h 52m,3.6,181,12,148,0,7,14,5,138
João e o bicho-papão -,Sinval Medina,72 páginas,2h 24m,4.3,12,8,23,0,0,0,1,3
Gonzaguinha e Gonzagão - Uma história brasileira,Regina Echeverria,432 páginas,14h 24m,4.2,210,14,199,0,7,8,9,130
Fora da Lei - Obra Poética,Saulo Ramos,384 páginas,12h 48m,3.6,40,4,22,0,1,4,3,27
Espinho de Ferro - Trilogia Código de Ferro - Livro 01,Caitlin Kittredge,515 páginas,17h 10m,3.8,143,14,1090,1,13,7,19,102
Elogio da diferença - O Feminino Emergente,Rosiska Darcy de Oliveira,168 páginas,5h 36m,4.4,29,3,102,0,0,1,2,22
Destaque-se -,Marcus Buckingham,160 páginas,5h 20m,3.5,59,11,238,0,4,1,2,27
Corajosos  - A honra começa em casa.,"Randy Alcorn, Alex Kendrick",288 páginas,9h 36m,4.3,494,74,534,2,20,17,69,288
Contos de Imaginação e Mistério -,Edgar Allan Poe,424 páginas,14h 8m,4.4,3294,740,3890,16,148,138,513,2241
Confrontos decisivos -,"Al Switzler, Joseph Grenny, Kerry Paterson, Ron Mcmillan",296 páginas,9h 52m,3.5,12,5,52,0,0,0,0,7
Como salvar uma vida -,Sara Zarr,312 páginas,10h 24m,4,380,8,653,0,7,22,32,275
Autonomia 360º - Saberes Aplicáveis na liderança atual,Renata Jubram,128 páginas,4h 16m,4.2,3,2,32,0,0,0,1,5
"Ameaça Mortal (Alex Cross #18) - Para os inimigos, só há um jeito de deter Alex Cross: matá-lo",James Patterson,192 páginas,6h 24m,3.9,872,20,844,3,13,32,29,551
A Primeira Noite - Continuação de O Primeiro Dia,Marc Levy,339 páginas,11h 18m,3.9,589,16,763,0,11,26,39,392
A poesia das coisas simples  -,Moacyr Scliar,256 páginas,8h 32m,3.9,49,2,114,1,3,2,4,31
A Máquina de Goldberg -,"Fido Nesti, Vanessa Barbara",112 páginas,3h 44m,3.5,266,2,184,0,0,9,7,178
A Maldição do Wendigo - Monstrologista - Livro 02,Rick Yancey,480 páginas,16h 0m,4.2,185,9,448,0,4,13,22,132
A graça de Deus -,Reverendo Aldo Quintão,144 páginas,4h 48m,3.5,23,4,19,0,0,2,0,15
A Cidade dos Vampiros (Vamppire Kisses #03) - Vampire Kisses,Ellen Schreiber,215 páginas,7h 10m,4,509,16,624,1,9,18,57,325
"8 ou 80 - Seu melhor amigo e seu pior inimigo moram aí, dentro de você!",Branca Barão,192 páginas,6h 24m,3.9,108,17,415,0,5,16,14,82
1565 - Enquanto o Brasil nascia -,Pedro Doria,280 páginas,9h 20m,3.7,719,72,783,1,33,61,1,536
À Luz de Paris  - Guia Turístico e Literário da Capital Francesa,João Correia Filho,448 páginas,14h 56m,4.3,46,2,155,1,0,3,4,22
Voto de Silêncio - Kate Burkholder - Livro 01,Linda Castillo,368 páginas,12h 16m,4.4,123,8,241,0,3,9,12,94
Vanessa e Virginia -,Susan Sellers,184 páginas,6h 8m,3,87,9,237,0,14,5,3,64
Syrena - Septimus Heap 05,Angie Sage,576 páginas,19h 12m,4.3,99,2,413,0,4,6,10,67
Superando as Armadilhas da Comoditização - Como maximizar sua posição competitiva e aumentar seu poder de ditar os preços,Richard A. D’Aveni,192 páginas,6h 24m,4,2,1,11,1,0,0,0,1
Seu filho x bullying -,"Joel Haber,  Jenna Glatzer",344 páginas,11h 28m,4.3,1,1,28,0,0,0,0,3
Segredos da Minha Vida em Hollywood: Princesa Paparazzi - Livro 4,Jen Calonita,336 páginas,11h 12m,3.8,113,4,276,0,6,4,8,60
"Redação, interpretação de textos e escolas literárias - 524 quentões com respostas",Professor Jorge Miguel,272 páginas,9h 4m,5,7,2,42,0,0,0,0,3
Psicologia Positiva dos Filmes - Usando filmes para construir virtudes e características fortes,"Ryan M. Niemiec, Danny Wedding",456 páginas,15h 12m,4.2,11,6,279,2,0,0,2,5
Oksa Pollock e a Floresta dos Desgarrados  - Oksa Pollock -  Livro 2,"Anne Plichota, Cendrine Wolf",332 páginas,11h 4m,3.9,191,11,282,0,9,8,10,102
O Segredo da Prosperidade Ilimitada -,Catherine Ponder,104 páginas,3h 28m,5,7,5,74,0,0,0,1,2
O Poder Próspero do Amor -,Catherine Ponder,192 páginas,6h 24m,3.5,7,4,40,0,0,1,1,4
O Pequeno Príncipe e Eufonia -,Organizador: Leya,32 páginas,1h 4m,4.3,12,4,39,0,1,1,0,7
O Pequeno Príncipe - O Segredo da Eufonia -,Organizador: Leya,24 páginas,48m,4.2,8,1,21,0,0,1,1,5
O Pequeno Príncipe - O Planeta da Música -,Organizador: Leya,96 páginas,3h 12m,4.4,39,1,55,0,0,3,2,21
O Pequeno Príncipe - O grande livro de jogos -,Organizador: Leya,96 páginas,3h 12m,3.6,8,3,19,0,0,0,1,5
O estrategista -,Cynthia A. Montgomery,208 páginas,6h 56m,3.9,145,41,364,0,6,9,5,75
"O Elo da Gestão de Carreira - O papel do Empregado, da Liderança e da Organização",Claudio Queiroz,112 páginas,3h 44m,4.3,18,15,114,1,0,0,1,6
"O amor vence - um livro sobre o céu, o inferno e o destino de todas as pessoas que já passaram pela terra",Rob Bell,176 páginas,5h 52m,3.7,174,18,299,4,6,7,13,91
Nyx na Série House of Night - Série House of Night,P.C. Cast,264 páginas,8h 48m,3.8,759,28,1672,1,25,12,54,385
Numbers - O Caos - Trilogia - Numbers #02,Rachel Ward,431 páginas,14h 22m,3.8,249,8,477,0,7,7,19,161
Não Há Dia Fácil  - Um Líder da Tropa de Elite Americana Conta Como Mataram Osama Bin Laden,"Mark Owen, Kevin Maurer",257 páginas,8h 34m,4.1,2522,165,1312,5,51,104,133,1657
"Não é Coisa da Sua Cabeça  - O que você precisa saber sobre ansiedade, depressão e outros transtornos emocionais que atingem uma em cada três pessoas",Naiara Magalhães,320 páginas,10h 40m,4.1,137,28,304,0,9,7,11,82
Método de Sucesso em Projetos - Uma abordagem comprovada para obter maior desempenho em gerenciamento de projetos em apenas 5 dias.,Clinton M. Padgett,264 páginas,8h 48m,3.5,6,3,29,0,0,0,0,2
Marita Pirulita -,Flora Figueiredo,48 páginas,1h 36m,4.6,4,1,12,0,0,0,1,5
Luxo & Crime -,Angela Klinke,192 páginas,6h 24m,3.4,61,1,140,0,4,13,1,44
Lisboa - 1939-1945: Guerra nas sombras,Neill Lochery,312 páginas,10h 24m,3.8,72,5,113,0,0,7,2,47
Hino de amor  -,Sonia Ramos,253 páginas,8h 26m,3.3,18,7,118,0,6,0,1,16
Gestão Estratégica do Franchising - Como construir Redes de Franquia de Sucesso,"Adir Ribeiro, Maurício Galhardo, Leonardo Marchi, Luis G. Imperatore",282 páginas,9h 24m,3.7,21,18,143,1,1,0,0,11
Fidel - O Tirano Mais Amado do Mundo -,Humberto Fontova,352 páginas,11h 44m,3.8,228,28,335,0,10,10,9,167
Eu ouviria meus pais se pelo menos eles calassem a boca -,Anthony Wolf,448 páginas,14h 56m,4,7,5,147,0,3,0,1,5
Departamento 19 - Departamento 19 - Livro 01,Will Hill,516 páginas,17h 12m,3.9,42,5,203,0,6,2,8,32
Contos de Terror do Navio Negro -,Chris Priestley,264 páginas,8h 48m,4.2,367,14,1019,4,8,19,52,270
Conectado pelas ideias - Como o cérebro está moldando o futuro da internet,Jeffrey M. Stibel,215 páginas,7h 10m,4,23,1,70,0,0,0,0,13
Como cozinhar sem receitas -,Glynn Christian,264 páginas,8h 48m,3.8,52,31,227,2,11,3,6,31
Cinquenta Tons Mais Escuros (Cinquenta Tons de Cinza #2) -,E.L. James,512 páginas,17h 4m,3.8,189034,2672,21868,267,2296,1374,7546,56347
Cidade das Estrelas  - Stravaganza - Livro 02,Mary Hoffman,456 páginas,15h 12m,3.9,96,7,302,0,6,7,5,49
Celestial - O Paraíso na Terra Não Poderia Durar Para Sempre,Jennifer Laurens,320 páginas,10h 40m,3.8,69,5,215,0,3,4,6,45
Através do Fogo - Liam Mulligan - Livro 01,Bruce DeSilva,304 páginas,10h 8m,3.9,16,1,93,0,2,3,1,12
As ideias que formaram a civilização ocidental -,Roberto Pinto de Souza,688 páginas,22h 56m,3.8,9,2,125,0,2,1,2,6
Antes de Partir - Uma Vida Transformada Pelo Convívio com Pessoas Diante da Morte,Bronnie Ware,316 páginas,10h 32m,4,476,68,835,1,29,41,33,303
Alma em mergulho  -,Yolanda Teixeira,80 páginas,2h 40m,3.3,1,1,13,0,0,0,0,3
Agora é pra valer! - A verdadeira história de quem passou de chefe dos outros a líder de si mesmo,Marcia Luz,176 páginas,5h 52m,4,91,20,199,0,2,3,7,53
A Lanterna -,Deborah Lawrenson,304 páginas,10h 8m,3.5,62,2,496,0,6,2,1,47
A Décima Segunda Profecia - Profecia Celestine - Livro 04,James Redfield,288 páginas,9h 36m,3.9,149,17,281,1,8,6,10,77
1001 Filmes Para Ver Antes de Morrer  -,Steven Jay Schneider,960 páginas,1d 8h 0m,4.3,2420,580,3132,20,63,46,14,1570
À Caça -,"Patricia Briggs, Eileen Wilks, Karen Chance",368 páginas,12h 16m,3.5,149,7,304,0,7,3,10,96
"Vordak, o Incompreensível  - Como Crescer e Dominar o Mundo",Scott Seegert,208 páginas,6h 56m,3.4,14,4,11,0,0,1,1,18
Véu da Inocência - (Harlequin Históricos 107),Blythe Gifford,288 páginas,9h 36m,3.6,97,2,121,0,3,4,11,68
Vertigens - Túneis - Livro 3,"Roderick Gordon, Brian Williams",592 páginas,19h 44m,4.2,240,15,744,0,3,7,20,163
Uma Noite Mágica & Beije-me agora! - (Primeiros Sucessos 27),"Diana Palmer, Maureen Child, Regan Hastings",348 páginas,11h 36m,4,176,2,122,2,0,7,20,103
Um Caminho Perigoso - (Harlequin Históricos 108) -  Ladies em desonra 2/3,Christine Merrill,288 páginas,9h 36m,3.7,143,4,148,0,2,10,5,100
Traição em Família - Sean King & Michelle Maxwell - Livro 04,David Baldacci,384 páginas,12h 48m,4.2,472,12,433,1,11,16,26,291
Toda Sua (Crossfire #1) - Ele me possuiu e eu fiquei obcecada...,Sylvia Day,280 páginas,9h 20m,3.8,39075,734,5471,101,680,969,2643,20864
Resident Evil - Retribuição,John Shirley,304 páginas,10h 8m,3.7,843,53,690,1,73,27,61,570
Requentando Repolhos -,Irvine Welsh,288 páginas,9h 36m,3.8,101,2,152,1,3,5,3,60
Os Litigantes -,John Grisham,448 páginas,14h 56m,4,469,32,413,0,7,31,21,294
Os Desejos da Bela Adormecida (Trilogia Erótica #1) -,Anne Rice,352 páginas,11h 44m,2.7,2030,121,1693,4,366,133,74,1289
O Diário de Tati -,Heloísa Périssé,132 páginas,4h 24m,3.1,3351,28,255,2,31,62,32,1600
Necrópolis  -  Livro 2 - A Batalha das Feras,Douglas MCT,336 páginas,11h 12m,4.1,76,2,187,0,5,5,7,49
Muito romântico -,Toni Brandão,248 páginas,8h 16m,3.6,63,1,44,1,6,5,5,41
Meu amigo Michael - A história de uma amizade com um homem extraordinário,Frank Cascio,313 páginas,10h 26m,4.7,483,24,340,3,11,30,129,365
"Loucamente Sua (Truly, Idaho #1) -",Rachel Gibson,344 páginas,11h 28m,4,7207,81,2352,5,91,199,691,4591
Fios de Prata - Reconstruindo Sandman,Raphael Draccon,352 páginas,11h 44m,3.8,1916,150,2946,1,136,54,210,1334
Entendendo Slavoj Zizek - Um guia ilustrado,"Christopher Kul-Want, Piero",176 páginas,5h 52m,4,99,6,74,0,3,3,5,63
Drummond e o elefante Geraldão  -,Fernando Jorge,176 páginas,5h 52m,3.1,6,1,16,0,1,1,0,6
Dias Sombrios - Sr. Ardiloso Cortês - Vol. 4,Derek Landy,362 páginas,12h 4m,4.5,393,11,526,2,3,8,63,242
As Horas Distantes -,Kate Morton,640 páginas,21h 20m,4.1,224,8,629,1,12,13,25,158
As histórias que me ensinaram a viver -,Jorge Bucay,192 páginas,6h 24m,4,137,12,292,1,4,5,17,79
A Punição da Bela - Trilogia Erótica #02,Anne Rice,352 páginas,11h 44m,3.1,1020,40,1155,1,88,29,54,606
A Libertação da Bela - Trilogia Erótica #03,Anne Rice,352 páginas,11h 44m,3.2,850,22,1163,1,57,26,46,487
A Espetacular Vida da Morte -,MJ Macedo,248 páginas,8h 16m,4.1,245,19,611,0,14,10,42,193
A Catastrófica História de Nós Dois -,Jess Rothenberg,384 páginas,12h 48m,4.2,475,10,869,0,9,24,90,342
Quitandas de Minas - Receitas de família e histórias,"Imene Senra, Rosaly Senra",144 páginas,4h 48m,0,0,0,1,0,0,0,0,0
10 Peças de Shakespeare - Recontadas por E. Nesbit,Edith Nesbit,96 páginas,3h 12m,4.1,51,6,43,0,0,5,3,39
Um conto de fadas em Manhattan -,Elisa Puricelli Guerra,312 páginas,10h 24m,3.4,164,8,189,0,7,8,5,100
Três Céus -,Enderson Rafael,256 páginas,8h 32m,4.1,141,5,499,1,7,19,17,95
Tempo de reportagem: Histórias que marcaram época no jornalismo brasileiro -,Audálio Dantas,288 páginas,9h 36m,4.2,96,7,129,0,1,1,6,54
Quentin Tarantino  - Arquivos de um Fanático por Cinema,Paul A. Woods,384 páginas,12h 48m,4.1,281,41,481,1,7,7,38,153
Paris Sobre Trilhos  - Viajando de Trem pela História da França,Ina Caro,412 páginas,13h 44m,4.1,1,1,34,0,2,4,7,37
Obstáculos do Amor e Uma Vida de Surpresas - (Desejo Dueto 19) - Dinastias: Os Kincaid – 1/3,Kathie DeNosky,320 páginas,10h 40m,3.8,65,3,75,0,2,4,3,43
O poder da união - COMO AÇÕES INDIVIDUAIS GERAM UMA FORÇA COLETIVA,"Eric Mehrdad Baghai, James H. Quigley",352 páginas,11h 44m,3,2,1,18,0,1,0,1,1
O Pequeno Príncipe e os Eolianos - Livro de imagens - volume 2,Organizador: Leya,32 páginas,1h 4m,4.1,24,1,30,0,1,0,0,9
O Pequeno Príncipe - o Órgão de Zéfiro - Histórias para ler na cama - volume 2,Organizador: Leya,24 páginas,48m,3.6,10,0,36,1,0,0,1,6
O Pequeno Príncipe - O Planeta dos Eolianos - Novelas — volume 3,Organizador: Leya,94 páginas,3h 8m,3.8,57,0,47,0,1,3,5,24
O Pequeno Príncipe - O Planeta do Pássaro de Fogo - Novelas - volume 2,Organizador: Leya,96 páginas,3h 12m,4.1,77,6,68,0,1,2,2,45
O Devorador -,Lorenza Ghinelli,200 páginas,6h 40m,3,221,3,196,0,14,15,7,166
Necrópolis - A Fronteira das almas,Douglas MCT,296 páginas,9h 52m,3.8,278,22,1021,3,25,47,20,218
Minha Irma vampira  - Revampirizada,Sienna Mercer,184 páginas,6h 8m,3.7,140,2,155,0,3,3,6,64
Manuscrito encontrado em Accra -,Paulo Coelho,176 páginas,5h 52m,4,2483,147,8467,8,100,102,204,1680
Mais que Desejo  - (Primeiros Sucessos 26),Linda Lael Miller,288 páginas,9h 36m,3.7,69,2,71,0,0,8,5,48
Mais perto de Deus -,Darin Hufford,192 páginas,6h 24m,4.2,75,9,155,2,3,2,12,46
Maçãs Envenenadas -,Lily Archer,320 páginas,10h 40m,3.5,873,15,756,1,21,42,37,583
Kama Sutra -,Vatsyayana,200 páginas,6h 40m,3.5,1089,68,584,5,55,40,0,581
"James Brown - Sua Vida, Sua Música",Rj Smith,632 páginas,21h 4m,4.1,50,5,104,0,4,2,3,40
Filosofia Em 60 Segundos - Expanda Sua Mente Com Um Minuto Por Dia,Andrew Pessin,144 páginas,4h 48m,3,437,50,258,0,30,31,5,270
Estudos Sobre Fogo (As Lendas de Yelena Zaltana #3) - As Lendas de Yelena Zaltana - Livro 3,Maria V. Snyder,441 páginas,14h 42m,4.3,1136,39,1460,3,28,58,185,776
Entendendo Filosofia - Um Guia Ilustrado,"Dave Robinson, Judy Groves",176 páginas,5h 52m,3.3,127,16,139,0,12,4,3,63
Desperte Comigo  - Come lie with me (Rainhas do Romance 67),Linda Howard,288 páginas,9h 36m,4,314,5,247,0,1,15,29,217
Como Iniciar uma Conversa e Fazer Amigos -,Don Gabor,228 páginas,7h 36m,3.3,104,21,262,1,8,3,0,52
Cinquenta Tons de Cinza (Cinquenta Tons de Cinza #1) - Livro 1,E.L. James,480 páginas,16h 0m,3.6,243405,4444,24007,383,6874,2945,8670,70398
Battlefield 3 - O Russo,Andy McNab,350 páginas,11h 40m,3.9,935,104,683,0,67,33,72,591
As Nove Vidas de Chloe King: Banidos - As Nove Vidas de Chloe King - Vol. 01,Liz Braswell,224 páginas,7h 28m,3.5,422,9,576,1,12,26,27,294
A Ovelha e o Dragão. Vol:2 - A Restauração,Renata Martins,398 páginas,13h 16m,4.4,811,44,759,4,15,26,153,522
A Última Madrugada -,João Paulo Cuenca,240 páginas,8h 0m,3.6,140,10,244,3,6,6,6,88
A Lei do Sucesso -,Jacob Pétry,192 páginas,6h 24m,4.2,177,106,776,6,6,11,16,111
A Divina Revelação do Inferno -,Mary Baxter,190 páginas,6h 20m,3.4,1625,75,476,11,58,70,10,875
A Batalha Final -,Rick Joyner,160 páginas,5h 20m,4.3,301,51,555,5,4,9,6,147
10 Hábitos dos Pregadores Altamente Eficazes -,Bispo Anderson Caleb,146 páginas,4h 52m,5,3,6,15,0,0,0,0,2
É sério... Estou brincando -,Ellen DeGeneres,218 páginas,7h 16m,3.8,271,5,149,1,1,13,24,176
É o cliente que importa -,Michael A. Aun,176 páginas,5h 52m,4.3,20,14,136,0,1,0,2,10
Voo - O Misterioso Sr. Spines - Livro 2,Jason Lethcoe,168 páginas,5h 36m,4,73,3,84,0,0,1,5,56
Você Está Sendo Vigiado -,Gregg Hurwitz,272 páginas,9h 4m,3.7,1476,46,1389,0,47,92,69,992
Vaclav & Lena -,Haley Tanner,272 páginas,9h 4m,3.8,1446,44,1706,3,50,74,130,1087
Seja o herói de sua história - Como reescrever sua história e mudar sua vida,Eliana Barbosa e Richard Krevolin,144 páginas,4h 48m,4.7,8,2,41,0,1,1,1,6
Os Carrascos Estão Mortos -,Rubens Paulo Gonçalves,208 páginas,6h 56m,3.9,54,3,138,0,2,2,2,34
O Torreão -,Jennifer Egan,238 páginas,7h 56m,3.6,1209,37,1254,1,63,55,71,878
O Mundo Fantástico de Tom Gates -,Liz Pichon,248 páginas,8h 16m,3.9,217,6,146,0,5,3,7,114
O milionário Josué - Seus segredos de prosperidade,Catherine Ponder,192 páginas,6h 24m,4,8,9,161,0,1,2,1,5
Missão Implacável - Os Arquivos Geniais - Livro 1,Dan Gutman,296 páginas,9h 52m,3.9,87,5,36,0,4,3,4,57
Garotas em Festa (It Girl #7) - Volume 7,Cecily von Ziegesar,272 páginas,9h 4m,3.9,467,6,701,1,3,6,13,216
Império da Noite - Vampiratas 5,Justin Somper,432 páginas,14h 24m,4.2,318,12,665,1,6,11,30,200
Hereafter - Hereafter - Livro 01,Tara Hudson,352 páginas,11h 44m,3.7,446,12,832,0,20,29,45,314
Guerreiros da Esperança - Onze crianças e o sonho de que a educação mude suas vidas,Andrea Hirata,288 páginas,9h 36m,4.4,329,28,387,2,12,27,61,241
Golpes Bilionários - Como os Maiores Golpistas da História Enganaram Tanta Gente Por Tanto Tempo,Kari Nars,216 páginas,7h 12m,3.4,83,16,97,0,3,5,0,53
Festas & Poções - Magic in Manhattan - Vol. 04,Sarah Mlynowski,400 páginas,13h 20m,4.2,144,3,282,0,4,0,12,91
